,noise_case,paramid,parameter,parameter_value,split,n_train,interp_type,ncomp,gp_noise,gp_length,gp_const,dl_alpha,rmse,maxerr,global_mean_minerr,global_mean_maxerr,global_mean_rmse,global_max_rmse,global_var_rmse
0,theo,,,,0,71,GP,35,0.001,10.0,10.0,0.0008,,,0.0009065675312767118,0.10111695709694221,0.06120697937227293,0.3236141964587433,0.007257794699662809
1,theo,,,,0,71,GP,36,0.001,10.0,10.0,0.0008,,,0.0006442889305384393,0.09687263739786398,0.0575346605470856,0.2760385233278598,0.0057352488344366214
2,theo,,,,0,71,GP,37,0.001,10.0,10.0,0.0008,,,0.0005559309221126207,0.09749075190427567,0.05800977268771135,0.2854695496908804,0.005914321908307901
3,theo,,,,0,71,GP,38,0.001,10.0,10.0,0.0008,,,0.0014323237633796272,0.10146892789816027,0.061507546561081476,0.33264243432463236,0.007272753676269687
4,theo,,,,0,71,GP,39,0.001,10.0,10.0,0.0008,,,0.000750023228939203,0.1005549741962381,0.06035627980007168,0.30895385699946526,0.00667252809516906
5,theo,,,,1,71,GP,35,0.001,10.0,10.0,0.0008,,,0.02506767366739243,0.17308974764937496,0.13343499803058498,0.7835609508116853,0.025640794257445705
6,theo,,,,1,71,GP,36,0.001,10.0,10.0,0.0008,,,0.02649313475079224,0.1848009522468592,0.14344442492279147,0.8051110431790255,0.027626972463013807
7,theo,,,,1,71,GP,37,0.001,10.0,10.0,0.0008,,,0.024652224212736492,0.16883331852740116,0.13008554780934126,0.7709327985454905,0.02494437662361843
8,theo,,,,1,71,GP,38,0.001,10.0,10.0,0.0008,,,0.024215874666242507,0.18030289997756765,0.13916718163809966,0.803553236866863,0.026884407832071647
9,theo,,,,1,71,GP,39,0.001,10.0,10.0,0.0008,,,0.025599733084891045,0.18959144388362592,0.1469060088176877,0.8174060870800601,0.02808878320184207
