,noise_case,paramid,parameter,parameter_value,split,n_train,interp_type,ncomp,gp_noise,gp_length,gp_const,dl_alpha,rmse,maxerr,global_mean_minerr,global_mean_maxerr,global_mean_rmse,global_max_rmse,global_var_rmse
0,theo,,,,0,71,GP,23,1e-05,1.0,10.0,,,,2.1464311809419693e-16,0.03440732956077914,0.020351910602394722,0.0603041977296035,0.00016558389213072852
1,theo,,,,0,71,GP,23,0.001,1.0,10.0,,,,4.070817756958907e-17,0.03440729847107794,0.020351910333571307,0.06030420149138124,0.00016558389873982674
2,theo,,,,0,71,GP,23,0.1,1.0,10.0,,,,4.070817756958907e-17,0.03449350519771456,0.02038971988224802,0.058973750552695686,0.0001630977862179829
3,theo,,,,0,71,GP,23,1e-05,4.0,10.0,,,,1.0732155904709847e-16,0.03440730582670611,0.020351912126591553,0.06030427759601499,0.00016558406474587953
4,theo,,,,0,71,GP,23,0.001,4.0,10.0,,,,4.4408920985006264e-17,0.03440730858126916,0.020351909510036938,0.060304204125478884,0.00016558389478981024
5,theo,,,,0,71,GP,23,0.1,4.0,10.0,,,,7.031412489292658e-17,0.03449349980278676,0.020389711564571693,0.058973692270148606,0.0001630976213673806
6,theo,,,,0,71,GP,23,1e-05,7.0,10.0,,,,5.181040781584064e-17,0.034407306655804375,0.020351913305771296,0.06030423893423866,0.00016558399233027965
7,theo,,,,0,71,GP,23,0.001,7.0,10.0,,,,7.771561172376095e-17,0.0344072970909733,0.020351911148710242,0.06030430282541418,0.00016558411276950451
8,theo,,,,0,71,GP,23,0.1,7.0,10.0,,,,6.29126380620922e-17,0.034493495372958524,0.020389711211123065,0.058973686531686526,0.00016309760865715515
9,theo,,,,0,71,GP,23,1e-05,10.0,10.0,,,,8.511709855459534e-17,0.03440732587518456,0.020351912676050368,0.06030421467710821,0.00016558393507540056
10,theo,,,,0,71,GP,23,0.001,10.0,10.0,,,,5.551115123125783e-17,0.03440730931645505,0.020351910195102615,0.06030415646160115,0.00016558380500611766
11,theo,,,,0,71,GP,23,0.1,10.0,10.0,,,,8.141635513917814e-17,0.03390279241372265,0.020215798952696953,0.051642133414112355,0.00014890517256317334
12,theo,,,,0,71,GP,24,1e-05,1.0,10.0,,,,3.700743415417188e-17,0.03440253829476638,0.020326403568017546,0.05969620303674396,0.00016422014485532147
13,theo,,,,0,71,GP,24,0.001,1.0,10.0,,,,5.551115123125783e-17,0.034402542622239234,0.02032640360271893,0.05969619877269422,0.00016422013287072234
14,theo,,,,0,71,GP,24,0.1,1.0,10.0,,,,7.401486830834377e-17,0.0345386844661894,0.020400976334281843,0.057651648980673424,0.00016064116265450862
15,theo,,,,0,71,GP,24,1e-05,4.0,10.0,,,,4.810966440042346e-17,0.03440259376976294,0.020326403625837066,0.059696163660004194,0.00016422006260972773
16,theo,,,,0,71,GP,24,0.001,4.0,10.0,,,,8.141635513917814e-17,0.03440255362829367,0.020326403810662263,0.05969616800846233,0.00016422007434710703
17,theo,,,,0,71,GP,24,0.1,4.0,10.0,,,,4.810966440042346e-17,0.03453864580549562,0.02040097258261581,0.057651636050998385,0.0001606411158058345
18,theo,,,,0,71,GP,24,1e-05,7.0,10.0,,,,5.921189464667501e-17,0.034146682806220505,0.020251979786856493,0.0535236738452612,0.0001517411596615893
19,theo,,,,0,71,GP,24,0.001,7.0,10.0,,,,1.1472304587793285e-16,0.03414667997829625,0.020251979467306624,0.05352375158016182,0.00015174128000123454
20,theo,,,,0,71,GP,24,0.1,7.0,10.0,,,,9.992007221626409e-17,0.033948101687188634,0.020156787529548217,0.05089086344334696,0.00014717442019695752
21,theo,,,,0,71,GP,24,1e-05,10.0,10.0,,,,8.141635513917814e-17,0.034402565910611166,0.020326405910108127,0.0596961786750922,0.0001642201040553721
22,theo,,,,0,71,GP,24,0.001,10.0,10.0,,,,8.511709855459534e-17,0.03440258338278352,0.02032640283527109,0.05969615759466553,0.00016422005709285204
23,theo,,,,0,71,GP,24,0.1,10.0,10.0,,,,5.551115123125783e-17,0.03453858804584124,0.02040097458594064,0.057651646335412886,0.00016064115493210571
24,theo,,,,0,71,GP,25,1e-05,1.0,10.0,,,,5.921189464667501e-17,0.03409022223247243,0.020215460066482616,0.05295949081247962,0.00015061447683338165
25,theo,,,,0,71,GP,25,0.001,1.0,10.0,,,,5.921189464667501e-17,0.0343727200332092,0.020302060785148453,0.0591209599432983,0.00016295376018977189
26,theo,,,,0,71,GP,25,0.1,1.0,10.0,,,,8.511709855459534e-17,0.03457451634993068,0.020420638565102622,0.056462236453840166,0.0001586040866505029
27,theo,,,,0,71,GP,25,1e-05,4.0,10.0,,,,7.771561172376095e-17,0.03437271001484414,0.02030205766604675,0.05912082840227766,0.0001629534814707069
28,theo,,,,0,71,GP,25,0.001,4.0,10.0,,,,7.031412489292658e-17,0.03437268749420805,0.020302052440452675,0.05912087438553234,0.00016295355042708395
29,theo,,,,0,71,GP,25,0.1,4.0,10.0,,,,7.401486830834377e-17,0.034574510986488366,0.020420635758149706,0.05646225907707143,0.00015860410291215567
30,theo,,,,0,71,GP,25,1e-05,7.0,10.0,,,,5.921189464667501e-17,0.034372696168733605,0.020302053209850925,0.05912087800686572,0.00016295355942820647
31,theo,,,,0,71,GP,25,0.001,7.0,10.0,,,,4.810966440042346e-17,0.0340915414548094,0.02021605290742346,0.052951719683247175,0.0001506061361643807
32,theo,,,,0,71,GP,25,0.1,7.0,10.0,,,,3.700743415417188e-17,0.033838504196108656,0.02010604115478428,0.049458061213318784,0.00014499260914524386
33,theo,,,,0,71,GP,25,1e-05,10.0,10.0,,,,4.810966440042345e-17,0.03437268833167341,0.02030205313666918,0.05912087414879867,0.0001629535518716146
34,theo,,,,0,71,GP,25,0.001,10.0,10.0,,,,6.66133814775094e-17,0.034372697506443,0.020302053348094404,0.059120876471038274,0.00016295355531932367
35,theo,,,,0,71,GP,25,0.1,10.0,10.0,,,,4.4408920985006264e-17,0.03457450573392664,0.020420641735818333,0.05646226958680062,0.00015860417025667992
36,theo,,,,0,71,GP,26,1e-05,1.0,10.0,,,,5.181040781584064e-17,0.03435277624103352,0.020278850033316264,0.058575434632711885,0.00016177470716048086
37,theo,,,,0,71,GP,26,0.001,1.0,10.0,,,,7.401486830834377e-17,0.034352654295227485,0.020278850067874617,0.058575443485942985,0.00016177471649361178
38,theo,,,,0,71,GP,26,0.1,1.0,10.0,,,,5.921189464667501e-17,0.03461969508702329,0.02044725139954488,0.05539057449994987,0.0001569198145337204
39,theo,,,,0,71,GP,26,1e-05,4.0,10.0,,,,5.551115123125783e-17,0.034352779640453954,0.020278849238059705,0.05857543721854128,0.0001617747037563693
40,theo,,,,0,71,GP,26,0.001,4.0,10.0,,,,8.141635513917814e-17,0.03435266803684507,0.020278852942503835,0.058575567897570624,0.0001617749675124177
41,theo,,,,0,71,GP,26,0.1,4.0,10.0,,,,7.031412489292658e-17,0.034619660499597894,0.020447245831160536,0.05539001657821951,0.00015691877467213544
42,theo,,,,0,71,GP,26,1e-05,7.0,10.0,,,,4.070817756958908e-17,0.03402724310829867,0.020182506151943905,0.05240775641171883,0.00014955867390371307
43,theo,,,,0,71,GP,26,0.001,7.0,10.0,,,,9.992007221626409e-17,0.03435269552814525,0.020278850625756174,0.05857544213532608,0.00016177472028256574
44,theo,,,,0,71,GP,26,0.1,7.0,10.0,,,,1.1842378929335003e-16,0.0346197141254136,0.020447271742466116,0.055390109474991886,0.00015691916995710627
45,theo,,,,0,71,GP,26,1e-05,10.0,10.0,,,,7.031412489292658e-17,0.034352680864131076,0.020278849658730346,0.05857548780846415,0.0001617748031385084
